summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
PPntIG1k4VPXrfjpW4Mkw0LARYAFSnOSHMDPc5AjHrUhpmCo,Pretty Girl 42,0,I,137,94,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
K0QR52V6neAA2z4uRXhzyPmB2JMxXDXaLEJuw30KSuemvIQ,IIIllIlII,248,I,158,124,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
SmErowBfqOOz65_gkwQWhScdzi_sZqmN12q14n_szRTLfCw,Chef Sergio ,48,I,68,56,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
SL8uHjj65oADjQK0ZdUBtMUAxZ5p78La42jSwVqzuWbKP2U,Lodrian,1,I,70,60,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
dWI0SSOolEMEqA6n-QihVjUN_e1OJp8YGb4loTGL-XyviwE,SSQ Admawodo,88,I,86,71,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
ho7REKfRkSuQpEDRHee1AHhJ2E4tEOnUH7Zhms4aLWFpMAiO,Nasir Jones,16,I,71,59,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
VvSfc-i99CR35Mkg6DZreGb5nw6C3uowHAcG5Fvt6rM5gW8,suh dude xD,154,I,80,79,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
tBg-d576E75RN9mY-wUqpsB0f9N_xcCfh5TZYn40PVPKsCqH,Dimitri 1v9,186,I,162,143,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
L40K8hiWMVnbZcH12sU4TaqdL_XlJY4mYErUSYDHQ0SO85Ot,Venøur,172,I,113,107,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
rdyUXdGVCxK-_JdMATDWnnzzSiLnTU6PtEIrsNtL8ddvw6o,otterpando,232,I,121,107,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
G-9fmXiBVmC_19UYIgjGJ6WmkixRi4IlOCsV5M0ruz_P1Jc,SUNAATCHI,96,I,107,92,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
cOBn-f4Qq6VFCHcJwVCeTvIKCPE5OTb-PMfgsIp6KbFDQxGD,Meveo,108,I,88,69,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,
YwZc1zuwftzRS4kRngm5QnqCTWeHQ1fDaoa4UTKl1vaepVx3,Sαnity,212,I,76,58,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
fLLv4OjJvakQCQ196QhJnnRfU80VdLqdDOwMNJFqWwmBdek,Alecito10,16,I,42,38,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
8mXh26K_gIlG_4qjLhwNsCRtsh_A8uUUAVGVWQIX8LgqUnlL,AquaCloak,186,I,186,181,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
88-gHBGbD17qGFuP5o01jdZzApHV5aBLMDPhzLXtybhuMdin,e k o s fbqa yu,90,I,57,48,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
6KdHdTRi_QifwCvxoqNoIven6lB-rbgspbn239DRSNbBPLw,SoolMay,210,I,108,74,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
CREt_L8NPV4l4ZaTXzjfHwnDGq6xvdJ7s-48EpniaAcBeaA,Drunken Talonlon,102,I,171,145,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,
